2021-11-12_01-40-18,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 500, 'h': 1000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_01-59-17,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 1500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_02-14-44,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 1500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_02-31-31,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 1500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_02-46-27,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 500, 'h': 1500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_02-59-42,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 2000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_03-14-59,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 2000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_03-31-30,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 2000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_03-51-50,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 500, 'h': 2000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_03-59-48,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 2500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_04-15-04,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 2500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_04-31-32,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 2500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_04-57-42,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 500, 'h': 2500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_05-00-03,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 3000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_05-15-10,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 3000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_05-31-33,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 3000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_05-56-33,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 500, 'h': 3000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_08-01-23,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 4}
2021-11-12_08-17-14,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 4}
